date	temp.C	precip.mm
2012-01-15	1.89	1.80
2012-02-15	-0.66	19.00
2012-03-15	9.69	0.00
2012-04-15	12.37	9.40
2012-05-15	15.35	40.10
2012-06-15	23.10	8.90
2012-07-15	24.37	57.40
2012-08-15	22.54	0.30
2012-09-15	17.84	58.20
2012-10-15	8.85	16.00
2012-11-15	4.70	3.80
2012-12-15	-1.36	9.10
2013-01-15	-1.50	3.00
2013-02-15	-0.60	13.70
2013-03-15	4.03	23.40
2013-04-15	5.87	59.70
2013-05-15	14.76	65.50
2013-06-15	21.56	11.90
2013-07-15	22.43	45.50
2013-08-15	22.40	14.00
2013-09-15	17.82	143.00
2013-10-15	8.14	45.20
2013-11-15	3.59	5.30
2013-12-15	-2.69	10.20
