Date	P	T
1951.01.15	52.6	1.7
1951.02.15	44.6	4.1
1951.03.15	72.2	5.0
1951.04.15	32.5	10.5
1951.05.15	119.9	14.6
1951.06.15	138.9	18.5
1951.07.15	95.1	19.6
1951.08.15	46.2	20.4
1951.09.15	70.0	17.1
1951.10.15	7.4	8.5
1951.11.15	80.0	8.2
1951.12.15	34.8	1.7
1952.01.15	70.4	-0.7
1952.02.15	63.2	-0.9
1952.03.15	36.2	2.4
1952.04.15	16.0	13.0
1952.05.15	62.4	14.4
1952.06.15	67.6	18.6
1952.07.15	38.8	21.8
1952.08.15	48.9	21.8
1952.09.15	88.7	13.6
1952.10.15	117.9	9.5
1952.11.15	44.8	3.2
1952.12.15	90.8	-0.4
1953.01.15	29.5	-1.3
1953.02.15	13.9	0.8
1953.03.15	12.9	4.9
1953.04.15	56.1	11.0
1953.05.15	91.2	14.2
1953.06.15	95.1	18.7
1953.07.15	86.3	20.9
1953.08.15	67.2	17.8
1953.09.15	76.8	16.4
1953.10.15	51.4	11.8
1953.11.15	12.2	3.2
1953.12.15	10.7	0.1
1954.01.15	46.6	-5.8
1954.02.15	11.2	-6.3
1954.03.15	51.5	5.7
1954.04.15	57.8	7.7
1954.05.15	123.4	14.1
1954.06.15	90.4	19.2
1954.07.15	115.3	17.7
1954.08.15	53.8	19.1
1954.09.15	93.0	16.4
1954.10.15	32.7	9.7
1954.11.15	62.4	3.8
1954.12.15	65.1	3.3
1955.01.15	31.0	-1.2
1955.02.15	71.9	0.5
1955.03.15	45.1	2.3
1955.04.15	41.1	8.0
1955.05.15	79.7	13.5
1955.06.15	40.6	17.4
1955.07.15	117.9	19.4
1955.08.15	120.6	18.2
1955.09.15	43.9	15.1
1955.10.15	115.4	9.6
1955.11.15	40.3	4.2
1955.12.15	26.9	1.9
1956.01.15	19.6	1.1
1956.02.15	39.8	-9.2
1956.03.15	30.8	2.2
1956.04.15	75.1	9.2
1956.05.15	64.8	14.7
1956.06.15	153.2	16.9
1956.07.15	80.6	20.0
1956.08.15	71.1	19.0
1956.09.15	6.7	15.5
